filename,target_npz,runtime,best_loss,optimizer,loss_name,budget,num_particles,max_iter,realized_budget,w,c1,c2,seed,optuna_trial,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0041.npz,random_IR_0041.npz,233.349,0.03170878,PSO+Optuna,L1_STFT,2000,45,43,1980,0.33714985010539705,2.8547026620122438,1.666882103449437,33150,12,3.052e-05,0.0042867,True,27.07473328,77.04048344,26.56806609,187726561280.0,5414.94677734,0.005,1.94957912,719.32330322,0.58271348,0.99066889,120126728243.6296,2678.85292587,0.00439577,1.94975883,617.88051315,0.58258902,0.9910964
random_IR_0042.npz,random_IR_0042.npz,387.957,0.00047834,PSO+Optuna,L1_STFT,2000,41,47,1968,0.16968318493546466,1.9836677693103217,2.035784629055077,54809,34,1.777e-05,0.00026679,True,23.83071933,7.46501067,22.8716133,219999993856.0,11415.75585938,0.00208753,2.4872818,545.04699707,0.91283,0.60303617,87945741567.89664,9359.39059524,0.00298957,2.48727389,639.47612167,0.91283769,0.60302548
random_IR_0043.npz,random_IR_0043.npz,595.105,0.09437437,PSO+Optuna,L1_STFT,2000,30,65,1980,0.6128686876095917,2.0454694448936706,1.2692271581625991,2244,32,4.237e-05,0.00567456,True,54.38881867,3.70103655,10.84148868,121442721792.0,20510.28125,0.00265178,2.58224773,589.65576172,0.97886562,0.9538933,215856681820.5389,18639.20052753,0.00189727,2.58282505,97.85350605,0.98080898,0.95421219
random_IR_0044.npz,random_IR_0044.npz,655.119,0.00023528,PSO+Optuna,L1_STFT,2000,42,46,1974,0.30731760022444743,2.604871829728294,1.466895874079777,76555,12,7.73e-06,2.261e-05,True,24.73481183,4.91645227,3.47013598,202428841984.0,13082.63085938,0.00189066,3.34474134,85.8331604,0.57491922,0.53617859,102531823752.15424,10086.13402258,0.00233258,3.34473726,81.11057897,0.57491894,0.53617932
random_IR_0045.npz,random_IR_0045.npz,861.0,0.1736027,PSO+Optuna,L1_STFT,2000,42,46,1974,0.8341557224477193,1.8050413936210437,1.3630313992555783,68180,26,1.705e-05,0.00019303,True,4.05796699,1.47971399,153.11122887,67552083968.0,4057.96679688,0.001,3.20414543,621.3203125,0.56140387,0.83786428,79166878635.77364,5192.59693353,0.00104571,3.20422366,770.5830427,0.55390549,0.83930343
random_IR_0046.npz,random_IR_0046.npz,356.168,0.00014778,PSO+Optuna,L1_STFT,2000,31,63,1984,0.5008159163366687,2.066660268795336,1.1359586564755524,54105,14,7.82e-06,0.00128995,True,40.78573772,6.12509983,11.16616677,130028986368.0,14641.88671875,0.00278555,1.81157207,455.42034912,0.64246911,0.57443374,178237772194.83322,18608.36206798,0.00268216,1.81156491,557.37321764,0.64246067,0.57442657
random_IR_0047.npz,random_IR_0047.npz,269.111,5.336e-05,PSO+Optuna,L1_STFT,2000,34,57,1972,0.45033504858260753,2.063097500971918,0.9764460627351648,45128,32,1.018e-05,9.106e-05,True,26.7067747,6.7449037,10.79176005,134274646016.0,10806.94335938,0.00247126,1.26058447,288.21310425,0.85085714,0.64892435,171542044338.7951,11005.44265585,0.00220639,1.26058553,262.12552806,0.85085647,0.64892423
random_IR_0048.npz,random_IR_0048.npz,288.982,1.908e-05,PSO+Optuna,L1_STFT,2000,46,42,1978,0.10851482160530203,1.2415691882678224,2.0755538244675518,18649,35,1.794e-05,2.237e-05,True,4.83230198,13.12094772,130.68453579,90704412672.0,2430.0,0.0019886,2.20178795,631.50714111,0.89156067,0.8909297,173640577983.92307,3498.74383694,0.0017246,2.20178817,788.54762685,0.89156074,0.89092971
random_IR_0049.npz,random_IR_0049.npz,282.872,0.00738687,PSO+Optuna,L1_STFT,2000,57,34,1995,0.18284604708515345,0.8102771038523269,2.722891561032724,36284,9,9.29e-06,0.00394033,True,2.91456815,9.06202978,30.83531001,172206047232.0,2430.0,0.00119941,1.85241675,89.87161255,0.60601079,0.73563981,123740478280.33698,7559.05176558,0.00249525,1.85232544,587.6037592,0.6065566,0.73532938
random_IR_0050.npz,random_IR_0050.npz,224.662,3.508e-05,PSO+Optuna,L1_STFT,2000,38,51,1976,0.2731789064854652,0.84734499550284,2.1384677902920037,35910,21,3.653e-05,3.619e-05,True,52.6916721,14.65774786,1.50489397,69663940608.0,10546.07226562,0.00499633,1.2293756,79.29537964,0.79299611,0.98012209,113941945230.415,12184.10079803,0.00419918,1.22937567,76.96567742,0.79299604,0.98012234
random_IR_0051.npz,random_IR_0051.npz,838.308,0.00807148,PSO+Optuna,L1_STFT,2000,42,46,1974,0.6696972089552858,0.7994788331127117,1.8012280010116086,29139,39,1.238e-05,0.0027026,True,26.92577361,1.43630263,31.69040595,67000000512.0,14432.3671875,0.00186565,2.97245598,853.28869629,0.8440249,0.64611995,149035156689.62817,12018.31682358,0.00114145,2.97215371,430.40813548,0.84388233,0.64602209
random_IR_0052.npz,random_IR_0052.npz,174.738,1.131e-05,PSO+Optuna,L1_STFT,2000,42,46,1974,0.20503361219691205,0.8950629551044966,2.0544863581410993,11599,20,1.089e-05,0.00142562,True,5.69801602,20.27612499,62.54810709,100811243520.0,2430.0,0.00234486,1.47369564,356.40011597,0.77646506,0.73388654,205309545104.02023,5948.06076492,0.0025707,1.47369564,956.40615874,0.77646492,0.7338866
random_IR_0053.npz,random_IR_0053.npz,440.445,0.00019691,PSO+Optuna,L1_STFT,2000,50,39,2000,0.23728986780210087,0.5021552040499262,2.4131849816912965,60309,16,1.703e-05,0.00149042,True,18.34223695,14.76323054,25.70857615,152480055296.0,6759.70751953,0.00271347,3.65792131,471.55279541,0.84811938,0.85281086,205318792113.84653,9931.67604802,0.00283442,3.65792009,724.17039494,0.84811226,0.85281481
random_IR_0054.npz,random_IR_0054.npz,342.078,0.01581362,PSO+Optuna,L1_STFT,2000,45,43,1980,0.29303000953812675,2.9397030449454844,1.0760578172084574,97430,9,4.592e-05,0.000266,True,23.92307516,19.0148652,19.01697869,144329539584.0,7281.95214844,0.00328526,2.05024195,454.9446106,0.89993775,0.97980762,91562439840.24425,6942.38113954,0.00402711,2.05038916,636.06469484,0.90023182,0.97999164
random_IR_0055.npz,random_IR_0055.npz,276.216,0.00027388,PSO+Optuna,L1_STFT,2000,39,50,1989,0.16096822895579818,1.7744200761272872,1.8234512222575927,66431,38,1.651e-05,0.00858323,True,13.55241983,19.39845068,23.12628883,121782026240.0,4679.85546875,0.00289591,2.42859101,313.41717529,0.7921164,0.91217315,212636794955.40863,11025.80092305,0.00336394,2.4286026,857.72406697,0.79211807,0.91217589
random_IR_0056.npz,random_IR_0056.npz,381.376,0.00422837,PSO+Optuna,L1_STFT,2000,60,32,1980,0.24423550153511736,2.1893367438883797,1.1660620568648896,54202,25,1.029e-05,0.0308577,True,16.11964587,14.49808727,2.4216474,96406003712.0,5355.30175781,0.00301004,3.73578358,39.03609848,0.54060036,0.7178992,127960441568.8106,14253.29065436,0.0042621,3.73564678,159.4228693,0.54072935,0.7177758
random_IR_0057.npz,random_IR_0057.npz,273.187,0.00137806,PSO+Optuna,L1_STFT,2000,47,41,1974,0.4364236143200664,1.6226824097178554,1.4702762191747123,64125,31,1.161e-05,0.011471,True,62.72972146,10.19103779,0.40545556,108398641152.0,15495.29589844,0.00404831,1.8501761,25.43411446,0.68485457,0.51793414,121371433816.20525,20458.87517103,0.00439615,1.85018379,33.3142935,0.68478638,0.51800097
random_IR_0058.npz,random_IR_0058.npz,202.921,0.07779967,PSO+Optuna,L1_STFT,2000,57,34,1995,0.5165539631720968,1.895915834834503,1.2274138956792275,76993,32,1.949e-05,0.00151795,True,11.00941876,29.70801133,43.65075656,214302752768.0,4267.53222656,0.00257981,1.6368494,480.56945801,0.93700492,0.7322225,211631134622.2992,4302.76068816,0.00260504,1.63717374,929.29212439,0.93604938,0.73253957
random_IR_0059.npz,random_IR_0059.npz,285.996,0.13149853,PSO+Optuna,L1_STFT,2000,50,39,2000,0.26438554568937855,2.339214908522078,2.117787898662616,19174,12,9.38e-06,0.0002275,True,8.82856297,7.51741607,113.2687169,164835360768.0,5335.84375,0.00165458,2.05686569,1000.0,0.71598667,0.54440415,69387727860.36472,3051.80231974,0.00193098,2.04743256,614.46856183,0.7201099,0.5433563
random_IR_0060.npz,random_IR_0060.npz,451.648,0.00032739,PSO+Optuna,L1_STFT,2000,49,39,1960,0.10547486866214739,1.219297087914765,1.8609259766825728,47202,12,8.59e-06,0.00273676,True,22.51409867,4.44128129,27.4533135,115051110400.0,10528.8203125,0.00213833,1.8306334,618.08660889,0.5665589,0.81307435,68841542103.34111,4893.83834685,0.00188464,1.83062887,253.19866181,0.56658731,0.81305533
random_IR_0061.npz,random_IR_0061.npz,422.373,0.01053602,PSO+Optuna,L1_STFT,2000,54,36,1998,0.3125075589815522,1.6013390873353475,1.927784457791086,85362,32,4.887e-05,0.00530613,True,8.7519354,65.60807731,16.22822376,138267607040.0,2430.0,0.00360162,3.92529726,142.02836609,0.74965358,0.99493718,164730548877.07898,5493.54320968,0.00496138,3.92534302,409.06000483,0.75024962,0.99481079
random_IR_0062.npz,random_IR_0062.npz,137.036,0.01400713,PSO+Optuna,L1_STFT,2000,57,34,1995,0.6015506105040457,0.7211947537500183,1.5574075301284673,75445,0,1.503e-05,0.00130288,True,37.90004102,36.67352822,14.50770919,219999993856.0,9149.53320312,0.00414229,1.28943241,549.84277344,0.63127899,0.83620262,168363199444.49942,6968.67005744,0.00413294,1.2893822,288.40561335,0.63057096,0.83627097
random_IR_0063.npz,random_IR_0063.npz,289.889,0.00664346,PSO+Optuna,L1_STFT,2000,36,54,1980,0.37185872067010783,2.0397829260763474,0.7369597576341964,22774,39,1.176e-05,0.00051851,True,15.32601264,14.46001748,25.07794151,176819044352.0,6343.88574219,0.00241587,2.60020256,384.34484863,0.71326202,0.68667549,175105930059.76578,7826.56857449,0.00269636,2.6001947,554.69226178,0.71327987,0.68666732
