folder,file,label_hz,F_hz,semis,score,alpha,p1,bump2,bump3,bump4,odd_only,kind
17479__modularsamples__rol,302856__modularsamples__roland-juno-6-saw-bass-split-c2-saw-bass-split-36-127.aiff,65.41,32.14,-12.30,15.92,1.24,-3.21,0.17,0.50,0.27,-0.17,single
17479__modularsamples__rol,302857__modularsamples__roland-juno-6-saw-bass-split-c2-saw-bass-split-37-127.aiff,69.30,34.25,-12.20,15.57,1.23,-2.98,0.23,0.44,0.44,-0.23,single
17479__modularsamples__rol,302858__modularsamples__roland-juno-6-saw-bass-split-d2-saw-bass-split-38-127.aiff,73.42,35.87,-12.40,17.79,1.55,-5.98,0.35,1.04,0.55,-0.35,single
17479__modularsamples__rol,302859__modularsamples__roland-juno-6-saw-bass-split-d2-saw-bass-split-39-127.aiff,77.78,38.22,-12.30,17.09,1.65,-6.37,0.59,0.78,0.19,-0.59,single
17479__modularsamples__rol,302860__modularsamples__roland-juno-6-saw-bass-split-e2-saw-bass-split-40-127.aiff,82.41,40.26,-12.40,19.16,1.71,-6.52,0.49,0.92,0.60,-0.49,single
17479__modularsamples__rol,302861__modularsamples__roland-juno-6-saw-bass-split-e2-saw-bass-split-41-127.aiff,87.31,42.90,-12.30,19.33,1.67,-6.11,0.50,0.79,0.02,-0.50,single
17479__modularsamples__rol,302862__modularsamples__roland-juno-6-saw-bass-split-f2-saw-bass-split-42-127.aiff,92.50,45.72,-12.20,19.30,1.38,-3.58,0.22,0.54,0.06,-0.22,single
17479__modularsamples__rol,302863__modularsamples__roland-juno-6-saw-bass-split-f2-saw-bass-split-43-127.aiff,98.00,48.16,-12.30,20.31,1.63,-5.65,0.28,0.90,-0.08,-0.28,single
17479__modularsamples__rol,302864__modularsamples__roland-juno-6-saw-bass-split-g2-saw-bass-split-44-127.aiff,103.83,51.32,-12.20,19.35,1.30,-2.73,0.31,0.29,0.26,-0.31,single
17479__modularsamples__rol,302865__modularsamples__roland-juno-6-saw-bass-split-a2-saw-bass-split-45-127.aiff,110.00,54.06,-12.30,21.62,1.79,-6.33,0.53,0.77,0.10,-0.53,single
17479__modularsamples__rol,302866__modularsamples__roland-juno-6-saw-bass-split-a2-saw-bass-split-46-127.aiff,116.54,57.27,-12.30,23.85,1.84,-6.61,0.56,0.99,0.12,-0.56,single
