filename,target_npz,runtime,best_loss,optimizer,loss_name,num_particles,max_iter,w,c1,c2,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0061.npz,random_IR_0061.npz,0.269,2.35106921,PSO,MSS,10,5,0.2,2.0,1.0,1.28903162,0.11540686,True,59.39374769,10.56553151,13.07602828,92208558725.1247,13987.37678194,0.00424624,1.95378514,776.63432415,0.86125504,0.95145387,164730548877.07898,5493.54320968,0.00496138,3.92534302,409.06000483,0.75024962,0.99481079
random_IR_0062.npz,random_IR_0062.npz,0.234,1.69771099,PSO,MSS,10,5,0.2,2.0,1.0,0.79857099,0.06981912,True,9.8406502,9.08061122,85.23643091,129986082423.69403,4976.13644247,0.00197757,1.29313273,838.78190099,0.79805937,0.60834367,168363199444.49942,6968.67005744,0.00413294,1.2893822,288.40561335,0.63057096,0.83627097
random_IR_0063.npz,random_IR_0063.npz,0.294,1.43284321,PSO,MSS,10,5,0.2,2.0,1.0,0.72144449,0.01411128,True,34.0119172,13.99387593,8.87394312,123613307571.99542,9684.53940562,0.00351198,1.9982213,301.81981861,0.74709628,0.75514769,175105930059.76578,7826.56857449,0.00269636,2.6001947,554.69226178,0.71327987,0.68666732
random_IR_0064.npz,random_IR_0064.npz,0.3,2.71727324,PSO,MSS,10,5,0.2,2.0,1.0,1.46331692,0.03405265,True,30.72442097,7.8662734,19.91507633,121176893407.69861,10893.19362242,0.00282052,2.52864477,611.87918891,0.94662306,0.86740752,120323463532.36218,6803.3874652,0.00469987,3.50310505,46.01685081,0.90933357,0.9928908
random_IR_0065.npz,random_IR_0065.npz,0.274,1.75915194,PSO,MSS,10,5,0.2,2.0,1.0,0.93903315,0.15891755,True,18.95941225,12.85763366,22.59113094,204469532822.0315,7979.73112534,0.00237595,2.47341281,428.31456474,0.7094802,0.87421394,105161266281.63704,21079.81137619,0.00461979,3.91001794,296.5632995,0.56189402,0.97596678
random_IR_0066.npz,random_IR_0066.npz,0.323,1.31981373,PSO,MSS,10,5,0.2,2.0,1.0,0.68811572,0.0093025,True,42.07543235,10.91028656,12.08062224,140478590380.6621,12653.95284558,0.00332508,1.49335273,508.29740373,0.6057536,0.73531884,201903192487.07745,16167.3310636,0.00375907,1.77691874,58.36577542,0.64349408,0.69573788
random_IR_0067.npz,random_IR_0067.npz,0.188,1.83054709,PSO,MSS,10,5,0.2,2.0,1.0,0.93438113,0.0106993,True,19.46620755,28.92445688,37.75287881,145781304401.95523,5537.09870228,0.0035156,1.72313113,734.90537453,0.71538022,0.85245719,135741622249.22392,5660.8382621,0.00399515,2.18545893,237.81486447,0.65918952,0.92120267
random_IR_0068.npz,random_IR_0068.npz,0.217,2.16586447,PSO,MSS,10,5,0.2,2.0,1.0,1.27567887,0.11883395,True,18.6179767,52.81901907,1.10283594,192751862784.27472,4826.58803205,0.00385738,4.0,20.53257391,0.88656584,0.89291784,199695279035.7571,14349.1567176,0.00300956,1.7894513,942.58417386,0.97070275,0.87787478
random_IR_0069.npz,random_IR_0069.npz,0.238,1.43091941,PSO,MSS,10,5,0.2,2.0,1.0,0.72410554,0.02864043,True,34.43552901,10.00087217,17.89019008,130582390260.74744,11123.35790305,0.00309579,2.09156188,616.05815939,0.7036498,0.58468343,77843076062.18388,10924.24763419,0.00487186,3.12876767,994.40084564,0.65346908,0.58465381
random_IR_0070.npz,random_IR_0070.npz,0.291,2.51490283,PSO,MSS,10,5,0.2,2.0,1.0,1.33650637,0.09917404,True,14.74669329,14.53185509,45.10597017,97050683118.18382,5054.03335297,0.00291781,2.55536398,665.16390758,0.6282602,0.89552851,203994040296.09613,9626.79151217,0.00152516,2.31071049,604.12176284,0.98421939,0.7779736
