filename,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,elapsed_s
random_IR_0036.npz,32.0969859842177,16.80770396028327,16.807938277661464,15.28904770655624,-0.0002343173781937935,2.2289784240570043e-08,1.276395569099753e-11,-2.2277020284879046e-08,0.003621470976347556,3.3693970747153418e-09,-0.0036214676069504814,0.00362149,True,18.806842105263158,1.093
random_IR_0037.npz,17.73645339936863,15.97684519311592,15.97197601668324,1.7644773826853921,0.004869176432681144,1.6164896088355363e-09,6.812230900904437e-12,-1.6096773779346318e-09,4.82919609341881e-05,5.803435637980261e-08,-4.82339265778083e-05,4.829e-05,True,18.806842105263158,1.118
random_IR_0038.npz,46.1350217667912,5.377389191064275,5.377292062947783,40.75772970384342,9.712811649187358e-05,1.8920488287221815e-07,1.2126527559885858e-10,-1.890836175966193e-07,0.02573617865733997,2.131117449071573e-08,-0.025736157346165477,0.02573625,True,7.888947368421054,0.992
random_IR_0039.npz,53.829947798611435,38.67979237130793,38.67492526917594,15.155022529435499,0.004867102131996148,7.230306575678469e-09,5.8580926567963765e-12,-7.224448483021673e-09,0.003558254558747836,1.2548279961039703e-09,-0.0035582533039198398,0.00355827,True,40.64263157894737,1.115
random_IR_0040.npz,15.444675249070308,38.781431245984486,38.78264063385975,-23.33796538478944,-0.001209387875263701,2.9920965260998855e-08,8.374385386533678e-12,-2.991259087561232e-08,0.008438198164387808,1.0223480187008425e-10,-0.008438198062153006,0.00843816,True,40.64263157894737,4.574
random_IR_0041.npz,10.89092866551841,11.841557913747174,11.77562132595157,-0.88469266043316,0.06593658779560307,1.2912434455003563e-09,1.0931155286497685e-11,-1.2803122902138586e-09,1.2319764121898517e-05,2.6137096282027704e-07,-1.205839315907824e-05,1.232e-05,True,13.347894736842106,0.654
random_IR_0042.npz,43.63852476259751,27.988392774573988,27.980553341811646,15.657971420785866,0.007839432762342113,1.536147919978248e-08,4.052819885247416e-11,-1.5320951000930005e-08,0.003798349062061807,2.2436551013173734e-09,-0.003798346818406706,0.00379836,True,29.724736842105266,2.034
random_IR_0043.npz,53.76278911565835,35.38430211436565,35.36359598486684,18.39919313079151,0.02070612949881223,4.561703015326657e-09,3.9273211419055265e-12,-4.557775694184751e-09,0.0052447081247259915,7.059123341394989e-09,-0.00524470106560265,0.00524475,True,35.183684210526316,2.906
random_IR_0044.npz,72.08314098674613,23.532000460926767,23.526714498389655,48.55642648835648,0.005285962537111999,5.182605633535786e-08,4.529336281033913e-11,-5.178076297254752e-08,0.03652726711841456,1.4833131552014137e-09,-0.036527265635101405,0.0365272,True,24.26578947368421,3.218
random_IR_0045.npz,6.952199064358975,5.430041948501755,5.4299505393616565,1.5222485249973188,9.140914009808654e-05,5.3899452012728943e-08,7.352891212564217e-11,-5.38259231006033e-08,3.590034531199665e-05,3.1165993133707386e-10,-3.590003365206531e-05,3.59e-05,True,7.888947368421054,5.452
random_IR_0046.npz,71.89248760265598,49.90448949426458,49.910604404253235,21.98188319840274,-0.006114909988653494,2.4658177721903485e-08,7.190216477770406e-11,-2.458627555712578e-08,0.00748606593009605,2.689670100763294e-09,-0.007486063240425949,0.00748613,True,51.560526315789474,1.695
random_IR_0047.npz,69.53089714595322,24.27989284315455,24.28229862144088,45.24859852451234,-0.0024057782863309285,1.125833648529806e-07,1.2069359400790347e-10,-1.1246267125897269e-07,0.03172006044894097,6.730425729824962e-10,-0.031720059775898396,0.03172002,True,24.26578947368421,1.197
random_IR_0048.npz,7.619959291816028,6.033817047624085,6.0339336211867245,1.5860256706293034,-0.00011657356263938823,3.38748691319779e-08,5.741127365177512e-11,-3.381745785832613e-08,3.8988348193875405e-05,1.7114370766239715e-08,-3.8971233823109167e-05,3.899e-05,True,7.888947368421054,1.457
random_IR_0049.npz,31.42475486208225,18.861916491433405,18.861723918063497,12.563030944018752,0.00019257336990818885,5.810200676137356e-08,5.708070474619298e-11,-5.8044926056627366e-08,0.002445190738564773,8.439218714725163e-10,-0.0024451898946429014,0.0024452,True,18.806842105263158,1.456
random_IR_0050.npz,23.666924061689183,51.1568049953925,51.16323238907162,-27.496308327382433,-0.006427393679118154,2.293307233003361e-08,7.490103155760597e-12,-2.292558222687785e-08,0.011713119037382924,1.863163692214967e-09,-0.011713117174219231,0.01171316,True,51.560526315789474,0.854
random_IR_0051.npz,31.895475557909055,13.718239333505167,13.718307738275392,18.177167819633663,-6.84047702250723e-05,7.003371393921043e-08,5.325885565898858e-11,-6.998045508355144e-08,0.005118895130405109,7.693339851656592e-10,-0.005118894361071123,0.00511888,True,13.347894736842106,5.14
random_IR_0052.npz,15.598276440144515,15.28817229848445,15.290679808379844,0.307596631764671,-0.0025075098953930564,3.058046704751405e-09,1.0014923612633453e-10,-2.9578974686250703e-09,1.4681699794149594e-06,2.4263242723711212e-09,-1.4657436551425883e-06,1.47e-06,True,13.347894736842106,0.879
random_IR_0053.npz,38.16172347600686,28.153372700418835,28.150541224028846,10.011182251978017,0.0028314763899892625,5.487374998836003e-09,7.636725453397109e-12,-5.479738273382606e-09,0.001552725942062542,1.3404198137230022e-09,-0.0015527246016427282,0.00155274,True,29.724736842105266,2.119
random_IR_0054.npz,21.381525724363975,27.963084181798486,27.95773251085293,-6.576206786488957,0.005351670945554332,5.73336578213457e-09,3.338755270518301e-12,-5.730027026864051e-09,0.0006699998237023156,4.946815721824754e-10,-0.0006699993290207434,0.00067001,True,29.724736842105266,1.181
random_IR_0055.npz,32.27928420538236,37.08862490208068,37.09013275708482,-4.810848551702456,-0.0015078550041351946,3.6600780184414816e-09,8.846434869369535e-12,-3.651231583572112e-09,0.0003585683443120506,4.032826841141557e-09,-0.00035856431148520944,0.00035856,True,35.183684210526316,1.341
random_IR_0056.npz,78.84812908447991,60.74373434559778,60.74895009794775,18.09917898653216,-0.005215752349968739,2.883784322449401e-09,8.802876830249495e-12,-2.8749814456191514e-09,0.005075068171888842,5.0628282213719005e-09,-0.00507506310906062,0.00507513,True,62.47842105263158,2.201
random_IR_0057.npz,72.69713882601853,89.95463177283861,89.94028408312352,-17.243145257104985,0.014347689715094702,9.265798794899638e-09,2.944292032402984e-11,-9.236355874575608e-09,0.004606356857329151,1.2449865564829557e-08,-0.004606344407463586,0.00460635,True,89.77315789473685,1.383
random_IR_0058.npz,11.120123794467846,11.214272955499922,11.208863703084328,-0.08873990861648196,0.005409252415594423,8.106488258441402e-10,4.3589878234717716e-11,-7.670589476094225e-10,1.245507639806611e-07,3.0035553647547954e-09,-1.215472086159063e-07,1.2e-07,True,13.347894736842106,0.827
random_IR_0059.npz,2.5564945935101755,5.892769166623744,5.892969243371544,-3.3364746498613687,-0.0002000767478005372,5.699527605429466e-07,2.6657373530802886e-10,-5.696861868076386e-07,0.00017246869844090302,4.326646397701019e-09,-0.0001724643717945053,0.00017247,True,7.888947368421054,1.722
random_IR_0060.npz,36.131290690374975,9.222896044525797,9.223123502007383,26.908167188367592,-0.00022745748158570223,2.49566369348031e-07,2.0610545214960752e-10,-2.493602638958814e-07,0.011217395153818671,1.3109346889809416e-09,-0.011217393842883982,0.01121743,True,7.888947368421054,1.954
random_IR_0061.npz,8.80008284175902,27.216279090004534,27.255555409642152,-18.455472567883135,-0.039276319637618684,5.7740026093711094e-09,8.631247843185474e-13,-5.773139484586791e-09,0.005276843408210544,2.5513353485703656e-08,-0.005276817894857059,0.00527685,True,29.724736842105266,1.201
