step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CF_DELAY_0,train/param_grad/CF_DEPTH_0,train/param_grad/CF_MIX_0,train/param_grad/CF_RATE_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/param,val_id/param_group/chorus_delay_ms,val_id/param_group/chorus_depth,val_id/param_group/chorus_mix,val_id/param_group/chorus_rate,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
3749,14,14,0.000868746,10,0,0,6.08165e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.06994e-05,0.015625,0.015625,0.822122,5.77447,11.7073,1.45176,0.127314,0.0902195,0.200509,0.202162,0.107521,0.126028,0.0674754,0.0496256,0.00823137,0.0477998,0.0928416,0,4.81964,0,5.89807,16.9517,2.59735,0.357435,0,0,9.69174,0
3799,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3899,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3949,15,,0.000860058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3999,15,15,0.000860058,10,0,0,6.07664e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.07333e-05,0.015625,0.015625,0.805786,5.89188,11.4717,1.46941,0.130492,0.0880237,0.202971,0.19623,0.102635,0.122319,0.0677242,0.0515849,0.00782472,0.0436638,0.0852837,0,4.7232,0,5.99891,16.4606,2.57057,0.349449,0,0,9.82425,0
4049,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4099,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4149,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,16,,0.000851458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4249,16,16,0.000851458,10,0,0,6.0729e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.06963e-05,0.015625,0.015625,0.789475,5.78093,11.062,1.42732,0.11807,0.0886517,0.203684,0.199947,0.101592,0.121436,0.0722555,0.0477376,0.0069715,0.0436178,0.0892747,0,4.24654,0,5.77876,16.6038,2.53726,0.33275,0,0,8.63431,0
4299,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4399,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4499,17,17,0.000842943,10,0,0,6.07373e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.06706e-05,0.015625,0.015625,0.779869,5.74981,11.4428,1.42582,0.126115,0.0887519,0.200749,0.194184,0.108556,0.126905,0.0668588,0.0471087,0.00691751,0.0456267,0.0906136,0,4.65614,0,5.7317,16.5687,2.52804,0.343574,0,0,9.34165,0
4549,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4599,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749,18,18,0.000834514,10,0,0,6.07182e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.06461e-05,0.015625,0.015625,0.752609,5.86023,11.5282,1.44987,0.12588,0.0888681,0.201813,0.209584,0.10385,0.118671,0.0670244,0.0479015,0.00746866,0.042782,0.0895859,0,4.99728,0,5.96713,16.9713,2.58032,0.351011,0,0,10.0726,0
4799,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4849,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4949,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4999,19,19,0.000826169,10,0,0,6.06768e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.05763e-05,0.015625,0.015625,0.741671,5.79101,10.9802,1.41535,0.122154,0.0861525,0.201807,0.197464,0.0985027,0.115344,0.0659309,0.0477222,0.00614329,0.0411331,0.0874782,0,4.50809,0,5.99867,16.7776,2.54482,0.345156,0,0,9.73135,0
5049,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5199,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,20,20,0.000817907,10,0,0,6.06722e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.05946e-05,0.015625,0.015625,0.731162,6.15603,12.4907,1.50686,0.141823,0.0903358,0.204226,0.199389,0.10116,0.130303,0.0698083,0.0479704,0.0110161,0.0454051,0.0940811,0,5.88052,0,6.322,17.3586,2.65273,0.379358,0,0,10.8175,0
5299,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5349,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5399,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
