filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,fixed_mu,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0052.npz,random_IR_0052.npz,206.519,0.00012836,55,L1_STFT,1.08e-05,0.0,True,54.29,54.29,20.27619987,62.52886431,1.47369463,0.77645709,0.73389029,15.2906959,20.27612366,62.54824271,1.47369564,0.77646492,0.7338866
random_IR_0053.npz,random_IR_0053.npz,333.748,0.00011968,47,L1_STFT,1.712e-05,0.0,True,54.29,54.29,14.76330941,25.71938337,3.65792099,0.8481074,0.85281349,28.15049998,14.76320899,25.72495677,3.65792009,0.84811226,0.85281481
random_IR_0054.npz,random_IR_0054.npz,143.253,0.00015215,60,L1_STFT,4.593e-05,0.0,True,54.29,54.29,19.01272456,22.71354847,2.05038783,0.90023165,0.97998999,27.95776424,19.01272437,22.75091417,2.05038916,0.90023182,0.97999164
random_IR_0055.npz,random_IR_0055.npz,153.886,0.00011977,47,L1_STFT,1.643e-05,0.0,True,54.29,54.29,19.39850713,23.14412093,2.42860099,0.79211351,0.91217709,37.09009595,19.39864379,23.12542055,2.4286026,0.79211807,0.91217589
random_IR_0056.npz,random_IR_0056.npz,285.473,0.00016733,43,L1_STFT,1.026e-05,0.0,True,54.29,54.29,14.49638436,2.61954092,3.7356517,0.54072358,0.71778077,60.74888275,14.49620673,2.62429303,3.73564678,0.54072935,0.7177758
random_IR_0057.npz,random_IR_0057.npz,225.198,9.862e-05,53,L1_STFT,1.16e-05,0.0,True,54.29,54.29,10.1913383,0.37071693,1.85018476,0.68478066,0.51799748,89.94035024,10.19125929,0.37040431,1.85018379,0.68478638,0.51800097
random_IR_0058.npz,random_IR_0058.npz,184.736,0.00016343,59,L1_STFT,1.987e-05,0.0,True,54.29,54.29,29.66912745,82.90653477,1.63717219,0.93604615,0.73254333,11.20885511,29.66934594,82.90696196,1.63717374,0.93604938,0.73253957
random_IR_0059.npz,random_IR_0059.npz,291.187,0.00015663,46,L1_STFT,9.14e-06,0.0,True,54.29,54.29,7.5356315,104.28423476,2.04743139,0.72010931,0.54336003,5.89295861,7.53577165,104.27165742,2.04743256,0.7201099,0.5433563
random_IR_0060.npz,random_IR_0060.npz,301.866,0.0002443,50,L1_STFT,8.69e-06,0.0,True,54.29,54.29,4.44125736,27.45033391,1.83063113,0.56660633,0.81304146,9.22314142,4.44126763,27.45254033,1.83062887,0.56658731,0.81305533
random_IR_0061.npz,random_IR_0061.npz,191.486,0.00021334,59,L1_STFT,4.887e-05,0.0,True,54.29,54.29,65.61073931,15.03717732,3.92534782,0.75024338,0.99481122,27.25555544,65.61060804,15.00831659,3.92534302,0.75024962,0.99481079
random_IR_0062.npz,random_IR_0062.npz,132.151,0.42610008,35,L1_STFT,1.51e-05,0.05013945,True,54.29,54.29,34.98392829,213.9876021,1.27221712,0.59958978,0.82088318,28.80107957,36.68279964,10.01370843,1.2893822,0.63057096,0.83627097
random_IR_0063.npz,random_IR_0063.npz,256.669,0.00014691,55,L1_STFT,1.133e-05,0.0,True,54.29,54.29,14.45886611,26.27909531,2.60019331,0.71329393,0.68666606,21.10321477,14.45877119,26.28472807,2.6001947,0.71327987,0.68666732
random_IR_0064.npz,random_IR_0064.npz,154.124,0.76623291,51,L1_STFT,4.861e-05,0.11013771,True,54.29,54.29,33.20023171,306.52137281,3.51259013,0.92390453,0.98610993,31.97502064,34.7251278,1.43915,3.50310505,0.90933357,0.9928908
random_IR_0065.npz,random_IR_0065.npz,397.074,0.00017465,59,L1_STFT,2.225e-05,0.0,True,54.29,54.29,9.46418265,3.0417883,3.91002137,0.56189259,0.97596988,97.38437309,9.46415117,3.04528632,3.91001794,0.56189402,0.97596678
random_IR_0066.npz,random_IR_0066.npz,190.33,0.00014996,60,L1_STFT,1.044e-05,0.0,True,54.29,54.29,15.68585922,0.96157744,1.77691354,0.64348077,0.69574067,60.77417866,15.68605976,0.96037127,1.77691874,0.64349408,0.69573788
random_IR_0067.npz,random_IR_0067.npz,163.96,9.773e-05,52,L1_STFT,1.827e-05,0.0,True,54.29,54.29,34.0209276,10.49866874,2.18545951,0.65918569,0.92120238,22.61591514,34.02096314,10.51537658,2.18545893,0.65918952,0.92120267
random_IR_0068.npz,random_IR_0068.npz,209.458,0.00021583,58,L1_STFT,3.998e-05,0.0,True,54.29,54.29,11.2045298,21.8253843,1.7894526,0.97071032,0.87787668,43.18461695,11.20454648,21.8268504,1.7894513,0.97070275,0.87787478
random_IR_0069.npz,random_IR_0069.npz,290.473,7.503e-05,59,L1_STFT,1.087e-05,0.0,True,54.29,54.29,15.03368155,18.68809329,3.12876782,0.65347671,0.58465188,53.22142984,15.03370188,18.68421891,3.12876767,0.65346908,0.58465381
random_IR_0070.npz,random_IR_0070.npz,278.76,0.00020341,40,L1_STFT,3.802e-05,0.0,True,54.29,54.29,4.38140768,41.13935511,2.31071255,0.98422913,0.77797352,14.68237148,4.38139768,41.14606169,2.31071049,0.98421939,0.7779736
random_IR_0071.npz,random_IR_0071.npz,194.461,8.848e-05,40,L1_STFT,1.166e-05,0.0,True,54.29,54.29,15.1648145,26.42563997,1.89698967,0.64311147,0.73316534,33.94723202,15.16479955,26.41635671,1.89698835,0.64310986,0.73316763
random_IR_0072.npz,random_IR_0072.npz,333.978,0.00016336,56,L1_STFT,1.167e-05,0.0,True,54.29,54.29,5.30363916,30.71401501,2.26497039,0.76722956,0.87778675,16.4778672,5.30368481,30.70004868,2.26496925,0.76723552,0.87779156
random_IR_0073.npz,random_IR_0073.npz,121.601,0.00016137,50,L1_STFT,1.101e-05,0.0,True,54.29,54.29,62.01455176,54.89933818,2.06717593,0.72858633,0.56127237,15.71201758,62.01426888,54.88282579,2.06717165,0.7286064,0.56126767
random_IR_0074.npz,random_IR_0074.npz,238.076,0.00015117,59,L1_STFT,9.98e-06,0.0,True,54.29,54.29,17.33631338,12.167989,2.1105828,0.61041337,0.67743817,55.96358841,17.33621929,12.16000788,2.11058037,0.61041261,0.67743208
random_IR_0075.npz,random_IR_0075.npz,274.0,8.219e-05,48,L1_STFT,1.102e-05,0.0,True,54.29,54.29,16.77251451,15.54730714,3.06110292,0.85805853,0.51386569,34.98257925,16.77254661,15.54152463,3.0611032,0.85806505,0.51386321
random_IR_0076.npz,random_IR_0076.npz,148.99,0.00021902,36,L1_STFT,1.079e-05,0.0,True,54.29,54.29,27.20245151,71.80444169,2.18077782,0.52190163,0.67788003,12.83982921,27.20233309,71.81655034,2.1807693,0.52191347,0.67787938
random_IR_0077.npz,random_IR_0077.npz,320.627,0.00019408,55,L1_STFT,2.192e-05,0.0,True,54.29,54.29,13.42519765,21.52621315,2.90447404,0.85068782,0.83925615,9.74589885,13.42512184,21.52267896,2.90447007,0.8506823,0.839259
random_IR_0078.npz,random_IR_0078.npz,401.166,0.00015145,49,L1_STFT,4.004e-05,0.0,True,54.29,54.29,1.03999552,46.67517603,3.85169464,0.98175905,0.51826662,13.86569804,1.03999452,46.67635051,3.85169696,0.98175746,0.51826712
random_IR_0079.npz,random_IR_0079.npz,206.734,0.00018078,50,L1_STFT,1.271e-05,0.0,True,54.29,54.29,34.73748658,13.71251467,3.11979949,0.55764919,0.72659564,37.05235035,34.73741555,13.75923777,3.11979905,0.55764903,0.72659746
random_IR_0080.npz,random_IR_0080.npz,183.478,0.00016552,46,L1_STFT,1.705e-05,0.0,True,54.29,54.29,24.50292901,3.61427071,2.60786011,0.81540436,0.94460904,25.34288344,24.50316,3.58660148,2.60786189,0.81541439,0.94461078
random_IR_0081.npz,random_IR_0081.npz,284.623,0.56933498,53,L1_STFT,2.555e-05,0.00061011,True,54.29,54.29,1.52126648,48.9786432,2.97963701,0.94759289,0.77594725,28.86632276,1.59923065,33.96970009,2.89459589,0.96195051,0.77527659
random_IR_0082.npz,random_IR_0082.npz,423.782,0.00017937,60,L1_STFT,1.068e-05,0.0,True,54.29,54.29,6.09824214,11.36352519,3.7775874,0.59562426,0.7006735,85.19058441,6.09817971,11.36612378,3.7775876,0.59563828,0.70067599
random_IR_0083.npz,random_IR_0083.npz,473.451,0.00014639,43,L1_STFT,2.265e-05,0.0,True,54.29,54.29,3.04907777,3.81914279,3.86120807,0.95485906,0.58851364,42.00576957,3.0490712,3.82033327,3.86121382,0.95485904,0.58851293
random_IR_0084.npz,random_IR_0084.npz,476.266,0.00011255,57,L1_STFT,8.26e-06,0.0,True,54.29,54.29,4.5770162,1.7809849,3.01723538,0.52941861,0.53937059,42.86125713,4.57703792,1.78473543,3.01724078,0.52941161,0.53937271
random_IR_0085.npz,random_IR_0085.npz,180.046,0.0001675,60,L1_STFT,8.86e-06,0.0,True,54.29,54.29,16.77005333,8.2463857,1.27712876,0.76917884,0.65917301,89.43983679,16.76980615,8.27244934,1.27712776,0.76918057,0.65917872
random_IR_0086.npz,random_IR_0086.npz,339.047,0.0001961,60,L1_STFT,1.305e-05,0.0,True,54.29,54.29,12.11554134,20.14645986,3.9940865,0.59560424,0.67071425,23.36360599,12.11543418,20.14476031,3.99409053,0.59558261,0.67071412
random_IR_0087.npz,random_IR_0087.npz,602.692,0.00015009,60,L1_STFT,9.53e-06,0.0,True,54.29,54.29,1.35062976,42.47453769,3.07301058,0.626824,0.76210973,14.29448782,1.35060818,42.48164111,3.07301113,0.62682251,0.76211124
random_IR_0088.npz,random_IR_0088.npz,390.228,0.00019046,51,L1_STFT,8.13e-06,0.0,True,54.29,54.29,3.00164293,5.77657786,2.16699309,0.55741852,0.67825388,58.42999038,3.00162826,5.77586963,2.16698998,0.55743394,0.67826195
random_IR_0089.npz,random_IR_0089.npz,307.656,0.00023059,50,L1_STFT,1.342e-05,0.0,True,54.29,54.29,6.69586157,5.14856677,2.81397526,0.86347469,0.82241822,77.15790238,6.69577706,5.14869848,2.81397801,0.86348927,0.82241552
random_IR_0090.npz,random_IR_0090.npz,243.855,6.369e-05,55,L1_STFT,1.127e-05,0.0,True,54.29,54.29,22.12240919,10.79405035,3.45785616,0.67438381,0.58236587,82.42083212,22.1223587,10.79575073,3.4578562,0.6743941,0.58236593
random_IR_0091.npz,random_IR_0091.npz,241.378,0.00027094,46,L1_STFT,3.305e-05,0.0,True,54.29,54.29,5.20773493,17.94038007,1.28164522,0.97978305,0.56749476,24.09045298,5.20775075,17.94433499,1.28164441,0.97978305,0.56748704
random_IR_0092.npz,random_IR_0092.npz,207.11,0.00018666,56,L1_STFT,3.489e-05,0.0,True,54.29,54.29,11.47029637,12.07541702,1.41031222,0.99185748,0.70590477,61.71832509,11.47027285,12.07746028,1.41031201,0.99187886,0.70590283
random_IR_0093.npz,random_IR_0093.npz,575.468,0.00014488,50,L1_STFT,1.258e-05,0.0,True,54.29,54.29,3.02935722,29.12874152,2.20296951,0.55765465,0.75391555,23.51387388,3.02936182,29.12908323,2.20297203,0.55765642,0.75391068
random_IR_0094.npz,random_IR_0094.npz,496.772,0.00017172,48,L1_STFT,7.42e-06,0.0,True,54.29,54.29,1.40410537,4.62629339,2.78514751,0.74059472,0.56675843,36.5524169,1.40408792,4.62441967,2.7851376,0.74060424,0.56675866
random_IR_0095.npz,random_IR_0095.npz,273.25,0.00014352,58,L1_STFT,1.124e-05,0.0,True,54.29,54.29,9.85612311,4.65048278,2.4254687,0.64292303,0.7078609,91.2334319,9.85617887,4.6442637,2.42547041,0.64291352,0.70785844
random_IR_0096.npz,random_IR_0096.npz,237.397,8.925e-05,58,L1_STFT,1.152e-05,0.0,True,54.29,54.29,12.55438853,5.90142743,2.25945683,0.70559589,0.72156286,58.41135303,12.55443139,5.90167257,2.25945521,0.70558896,0.72156246
random_IR_0097.npz,random_IR_0097.npz,631.596,0.00016818,55,L1_STFT,1.086e-05,0.0,True,54.29,54.29,1.76353902,43.65653641,2.88213951,0.77309832,0.564133,18.83681002,1.76351773,43.65964903,2.88213033,0.77309227,0.56413378
random_IR_0098.npz,random_IR_0098.npz,187.889,0.00022147,54,L1_STFT,1.188e-05,0.0,True,54.29,54.29,36.69637352,40.90931672,2.27461162,0.56380015,0.80708578,7.84630584,36.69597725,40.91731655,2.27460328,0.56379438,0.80709099
random_IR_0099.npz,random_IR_0099.npz,172.141,0.00013766,60,L1_STFT,1.19e-05,0.0,True,54.29,54.29,50.84958314,61.9651506,3.13932827,0.52431437,0.77210939,15.47316203,50.84996985,61.9875019,3.13933074,0.52430322,0.77210926
random_IR_0100.npz,random_IR_0100.npz,228.487,0.00020385,59,L1_STFT,1.437e-05,0.0,True,54.29,54.29,9.91352552,19.61430505,2.2723041,0.76390258,0.92296369,18.61961113,9.91349174,19.60869234,2.27230649,0.76389341,0.92296066
