step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
4749,18,18,0.000834514,10,0,0,0.000113968,0.03125,0.000111502,0.03125,0.03125,0.370135,6.41931,12.0708,1.17908,0.0893489,3.93287,0.0400029,0.0642669,0.0362767,0.00486066,0.0305167,0.0640935,0,6.51897,0,
4799,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,
4849,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,
4899,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,
4949,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,
4999,19,19,0.000826169,10,0,0,0.000113438,0.03125,0.000111517,0.03125,0.03125,0.362867,6.49495,12.1483,1.18263,0.0887219,3.83552,0.0390463,0.0627541,0.0352111,0.005023,0.0295975,0.0626459,0,6.7382,0,
5049,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,
5099,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,
5149,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,
5199,20,,0.000817907,,,,,,,,,,,,,,,,,,,,,,,,
5249,20,20,0.000817907,10,0,0,0.000113421,0.03125,0.000111756,0.03125,0.03125,0.361926,6.42014,12.1152,1.1796,0.0797275,3.76552,0.0360865,0.056507,0.0330798,0.00517044,0.0289188,0.0567564,0,6.48858,0,
5299,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,
5349,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,
5399,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,
5449,21,,0.000809728,,,,,,,,,,,,,,,,,,,,,,,,
5499,21,21,0.000809728,10,0,0,0.000112658,0.03125,0.000111336,0.03125,0.03125,0.351563,6.54701,12.278,1.2066,0.077949,3.79552,0.0377477,0.0598535,0.0335568,0.00606481,0.0303185,0.0589448,0,6.16778,0,
5549,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,
5599,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,
5649,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,
5699,22,,0.000801631,,,,,,,,,,,,,,,,,,,,,,,,
5749,22,22,0.000801631,10,0,0,0.000113496,0.03125,0.000111256,0.03125,0.03125,0.351336,6.41542,12.4133,1.2021,0.0845352,3.97701,0.0360278,0.0574809,0.0340917,0.00543254,0.025153,0.0579809,0,6.13025,0,
5799,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,
5849,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,
5899,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,
5949,23,,0.000793614,,,,,,,,,,,,,,,,,,,,,,,,
5999,23,23,0.000793614,10,0,0,0.000112995,0.03125,0.000111321,0.03125,0.03125,0.343999,6.31733,11.5448,1.15241,0.0715153,3.49759,0.0345598,0.0570386,0.0328057,0.00426322,0.026858,0.0518334,0,5.51746,0,
6049,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,
6099,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,
6149,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,
6199,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,
6249,24,24,0.000785678,10,0,0,0.000113055,0.03125,0.000111277,0.03125,0.03125,0.345929,6.61527,11.5749,1.17205,0.104334,3.61379,0.0407954,0.0760232,0.0360838,0.00435737,0.0288275,0.058685,0,7.15393,0,
6299,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,
6349,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,
6399,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,
6449,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,
