step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/param,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
9749,38,38,0.000682555,10,0,0,4.79236e-05,4.83405e-05,0.0260416,9.18156e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.322819,6.01576,14.92,1.27936,0.0520065,0,4.86974,0,6.04011,17.4056,2.59416,0,0,9.8892,0
9799,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,,,
9849,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,,,
9899,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,,,
9949,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,39,39,0.000675729,10,0,0,4.77976e-05,4.82453e-05,0.0260416,9.19763e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.315464,6.06615,14.8841,1.26962,0.0510878,0,5.00248,0,6.00076,17.3534,2.57542,0,0,9.9493,0
10049,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,,,
10099,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,,,
10149,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,,,
10199,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,,,
10249,40,40,0.000668972,10,0,0,4.81317e-05,4.83501e-05,0.0260416,9.15794e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.312632,6.06172,14.7985,1.26737,0.0510896,0,5.00002,0,6.21478,17.3969,2.62623,0,0,10.2237,0
10299,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,,,
10349,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,,,
10399,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,,,
10449,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,,,
10499,41,41,0.000662282,10,0,0,4.76435e-05,4.82137e-05,0.0260416,9.14013e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.303827,6.04292,15.1883,1.29398,0.0505383,0,5.32082,0,6.0572,17.4566,2.60366,0,0,10.4872,0
10549,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,,,
10599,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,,,
10649,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,,,
10699,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,,,
10749,42,42,0.000655659,10,0,0,4.75986e-05,4.81412e-05,0.0260416,9.16041e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.296052,6.17186,14.54,1.26533,0.050632,0,5.06925,0,6.10644,17.3646,2.58806,0,0,10.8743,0
10799,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,,,
10849,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,,,
10899,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,,,
10949,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,,,
10999,43,43,0.000649103,10,0,0,4.77404e-05,4.81662e-05,0.0260416,9.12911e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.296217,6.04641,14.7166,1.28293,0.0528492,0,4.75396,0,5.97261,17.1935,2.5348,0,0,9.25876,0
11049,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,,,
11099,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,,,
11149,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,,,
11199,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,,,
11249,44,44,0.000642612,10,0,0,4.77825e-05,4.81978e-05,0.02604,9.13163e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.293534,6.05883,14.5813,1.2627,0.0508505,0,5.03898,0,6.14467,17.478,2.61311,0,0,10.6601,0
11299,45,,0.000636185,,,,,,,,,,,,,,,,,,,,,,,,,,
11349,45,,0.000636185,,,,,,,,,,,,,,,,,,,,,,,,,,
