filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0045.npz,random_IR_0045.npz,664.721,0.00024369,47,L1_STFT,1.664e-05,0.08583096,True,79.86202481,1.4819279,141.91202516,3.2042306,0.55389857,0.83930501,5.42994968,1.48193369,141.91347768,3.20422366,0.55390549,0.83930343
random_IR_0046.npz,random_IR_0046.npz,266.949,0.00018111,54,L1_STFT,7.75e-06,0.00963848,True,24.96792109,6.12492933,11.17309795,1.81156717,0.64246267,0.57443161,49.91056471,6.12502333,11.16743962,1.81156491,0.64246067,0.57442657
random_IR_0047.npz,random_IR_0047.npz,280.612,0.00017776,59,L1_STFT,9.86e-06,0.00135852,True,14.91815538,6.74481057,10.79814186,1.26058338,0.85086701,0.64892079,24.28234856,6.74492137,10.79490015,1.26058553,0.85085647,0.64892423
random_IR_0048.npz,random_IR_0048.npz,260.451,0.00019346,51,L1_STFT,1.75e-05,0.03429661,True,53.08438829,13.12100549,130.6698851,2.2017908,0.89156953,0.89093343,6.03394708,13.12094923,130.68520759,2.20178817,0.89156074,0.89092971
random_IR_0049.npz,random_IR_0049.npz,293.631,0.00020714,59,L1_STFT,9.51e-06,4.914e-05,True,17.08079386,9.0600682,31.1455071,1.85232514,0.60654641,0.73533024,18.86174321,9.05984912,31.15320534,1.85232544,0.6065566,0.73532938
random_IR_0050.npz,random_IR_0050.npz,178.134,0.00019651,60,L1_STFT,3.821e-05,0.02109474,True,14.26337499,14.65773274,1.51559646,1.22937487,0.79299501,0.98013154,51.1632755,14.65775095,1.5043149,1.22937567,0.79299604,0.98012234
random_IR_0051.npz,random_IR_0051.npz,602.652,0.00019934,45,L1_STFT,1.143e-05,0.00211989,True,25.41584527,1.436196,31.36876185,2.9721561,0.84387648,0.64602029,13.71830465,1.43617098,31.37473226,2.97215371,0.84388233,0.64602209
random_IR_0052.npz,random_IR_0052.npz,157.648,0.00017107,39,L1_STFT,1.08e-05,0.0692451,True,82.14550561,20.27634475,62.53013062,1.47369449,0.77646203,0.73388071,15.2906959,20.27612366,62.54824271,1.47369564,0.77646492,0.7338866
random_IR_0053.npz,random_IR_0053.npz,391.028,0.00018507,60,L1_STFT,1.712e-05,0.00047748,True,33.70207664,14.76324502,25.73562825,3.65792802,0.84812075,0.85281585,28.15049998,14.76320899,25.72495677,3.65792009,0.84811226,0.85281481
random_IR_0054.npz,random_IR_0054.npz,232.265,0.00022477,58,L1_STFT,4.593e-05,0.05109735,True,85.38756843,19.01262003,22.78381412,2.05038942,0.90023889,0.97999035,27.95776424,19.01272437,22.75091417,2.05038916,0.90023182,0.97999164
