CMA-ES full   L1_STFT,DDSP  l1_stft_tgtnorm,CMA-ES 1rst   l1_stft,CMA-ES 1rst   mss,CMA-ES 1rst   smoothmss,CMA-ES 1rst   l1_stft_pow,CMA-ES 1rst   l1_stft_c2,CMA-ES 1rst   l1_stft_log
,1.531365111e-01,2.068025320e-03,2.712020859e-09,1.141602810e-01,6.945917603e-02,1.480023022e-01,7.575230567e-02
,3.676596134e-04,1.294383445e-01,1.396423788e-01,1.441647961e-01,1.424771101e-01,6.238810717e-02,1.203690031e-01
,4.685998281e-04,6.467426837e-10,4.273859669e-02,7.243324792e-02,2.333316900e-02,2.450864424e-02,3.825528501e-02
,2.152660056e-05,2.514152430e-01,2.525289756e-01,2.343977397e-01,1.367922324e-01,1.657706676e-01,1.968063864e-02
,3.667176726e-05,2.963689510e-10,2.575342512e-03,2.520955453e-01,1.847176280e-01,2.657479986e-01,2.440106702e-02
,5.457606726e-05,3.605367018e-10,4.099380248e-02,7.465023530e-02,9.361686943e-02,9.455748696e-02,1.296780010e-01
,1.488962183e-05,6.843807982e-09,3.672865138e-11,7.533549587e-03,4.805975923e-02,1.892646653e-01,2.117323899e-01
,1.217193662e-04,1.046961760e-10,1.063523179e-10,2.441864422e-01,1.951925376e-01,1.408830462e-01,2.085099075e-01
,1.358444650e-04,1.812604742e-09,1.760580138e-01,1.981953815e-01,1.681383195e-01,1.832897194e-02,5.437365022e-02
,4.382706786e-03,7.757575830e-09,1.102001089e-03,7.286249198e-08,7.708703542e-02,2.639598079e-02,1.244493922e-01
,2.564133275e-04,5.852472331e-02,5.891546456e-02,1.825418139e-01,1.340717882e-01,1.657026105e-02,4.972807693e-02
,6.606811960e-05,8.184706065e-10,3.800550958e-02,1.007530963e-01,2.186835577e-01,2.258222209e-01,1.036700100e-01
,2.578373762e-05,5.445107495e-02,8.046267619e-02,5.524778738e-02,1.053850488e-01,4.520419399e-02,1.225983040e-01
,1.037493714e-02,3.436041071e-09,4.302199253e-09,6.796840541e-08,4.947869643e-03,1.604017292e-02,1.444959722e-01
,2.172170094e-04,6.668275028e-09,2.229431692e-02,7.061000212e-02,1.045304506e-01,7.578986539e-02,1.425621037e-01
,1.785836726e-04,4.116539908e-02,2.363509734e-01,2.445181250e-01,4.826916078e-02,6.509029406e-02,4.770468527e-03
,2.608391228e-06,1.469934632e-09,7.085948476e-12,8.068644006e-02,8.555567573e-02,2.487792185e-01,1.985741748e-02
,2.442915449e-02,9.402808139e-02,1.794611457e-03,6.104580398e-02,1.077832267e-01,1.961230515e-01,4.557799873e-02
,3.812991855e-05,5.783961634e-02,6.350691790e-02,5.079029817e-02,1.526603789e-01,1.358513383e-01,9.753574557e-02
,2.580770258e-05,7.977560220e-02,8.665296305e-02,8.154633596e-02,8.298992802e-02,6.183981203e-02,9.584467953e-02
,9.811420987e-06,2.134383522e-07,1.278092320e-01,1.126093972e-01,1.439608882e-01,8.063626128e-02,1.005940024e-01
,1.042796584e-04,1.302670757e-01,2.115466954e-11,5.004938922e-02,2.248176170e-02,3.414373425e-02,2.812619473e-02
,5.704870510e-04,2.165505431e-10,1.120923587e-01,1.193453864e-02,1.203318492e-02,3.650666145e-02,9.769155539e-02
,1.214189410e-04,7.283642941e-02,3.609276293e-02,1.711997821e-07,5.210447896e-02,8.801369345e-02,1.202484860e-01
,1.281341774e-04,7.663712484e-09,1.450253636e-08,1.761637860e-02,4.734058951e-02,1.059567020e-01,5.666832094e-02
,4.093446588e-02,1.083767541e-01,4.439767202e-02,1.758893704e-02,1.772032285e-02,8.353779594e-02,6.292490900e-02
,5.230281228e-05,1.609454188e-03,9.466667017e-02,1.423724032e-01,1.426741525e-01,5.050320799e-03,1.491104669e-01
,4.594256068e-04,2.050366238e-09,1.487081399e-02,1.246038826e-07,9.870817040e-02,1.522231145e-01,1.122941013e-01
,3.988162171e-02,2.700022266e-02,1.351500726e-01,3.454624803e-02,4.355429317e-03,3.998592881e-09,4.430355795e-02
,2.294079141e-05,1.560904897e-10,1.442631555e-02,1.371838639e-01,1.122267546e-01,5.468050163e-02,2.663742085e-02
,1.663223588e-04,7.208914724e-03,2.199799491e-11,3.370834657e-03,3.962667459e-02,2.067771882e-03,3.878901298e-02
,1.747540838e-04,8.949652085e-10,2.917835742e-10,1.146101281e-01,3.189991028e-08,8.526193059e-10,6.005466640e-04
,1.026181275e-03,5.545927062e-10,4.081729689e-02,8.895052349e-03,3.305992128e-09,1.339354093e-10,1.433540843e-01
,1.945150051e-05,9.397862872e-03,2.703418391e-02,1.326237176e-02,5.526979525e-02,7.922116901e-02,5.159917827e-02
,9.610992236e-05,6.883022796e-02,1.470443645e-01,1.444450631e-01,1.342551104e-01,3.615515817e-02,4.441854058e-02
,2.113736802e-04,3.974565986e-10,1.351633825e-02,8.874023175e-03,1.826587448e-10,1.027028054e-09,6.131259284e-04
,3.465544119e-05,1.199392425e-06,8.603070197e-07,1.655338240e-01,1.078695639e-01,1.012720435e-01,9.954890478e-02
,9.915736611e-05,9.300689527e-02,6.186330532e-02,9.202202842e-02,4.214796908e-02,2.837355197e-02,1.252744288e-01
,1.766839831e-04,6.580579452e-11,4.985574319e-11,5.942737102e-02,3.640474779e-03,1.738788331e-02,5.662997378e-02
,1.262305070e-03,1.429882853e-02,1.404224131e-09,6.607048476e-08,1.133753105e-01,9.850148634e-02,8.909350322e-02
,5.759444067e-05,3.154115021e-03,7.003801340e-03,1.551563310e-01,6.160837598e-03,1.787564055e-01,1.655992850e-01
,1.172098633e-04,2.481933255e-01,6.215870919e-02,1.739696450e-01,4.214881012e-02,1.664645008e-01,1.691820481e-01
,2.628647350e-04,1.477470042e-09,1.029701977e-08,3.096322177e-02,1.783791166e-01,1.286896294e-01,1.034431288e-01
,1.816694782e-04,3.199988881e-10,3.263188912e-02,3.019640850e-02,2.685316451e-02,1.951930244e-02,2.205760960e-02
,8.005871361e-06,4.973492839e-02,6.472381235e-02,1.681090224e-01,8.932387813e-02,9.762007524e-02,4.986453849e-02
,1.371548645e-03,1.857749736e-01,1.231374328e-01,1.099500569e-01,5.392246171e-02,1.207575676e-01,5.070714268e-02
,1.194926446e-02,2.156307390e-07,7.081466126e-02,1.553390857e-01,5.997612418e-02,8.445420275e-02,1.073805642e-01
,3.928723464e-04,1.108222759e-01,1.035911247e-02,5.356665335e-03,1.699988952e-04,8.743192479e-02,1.471783382e-02
,1.048819404e-02,8.307689325e-02,5.062390917e-02,1.276040895e-01,4.848541034e-02,1.202456532e-01,3.549090204e-02
,5.020689627e-02,1.047249247e-09,2.148543283e-09,1.280128012e-01,1.444272679e-01,3.292509928e-03,7.908750690e-02
,7.042860368e-05,1.145765949e-01,7.895254778e-02,1.675151136e-01,8.673254674e-02,9.314185780e-02,8.409817165e-02
,1.187977616e-04,9.254924731e-10,2.719039926e-06,2.966139756e-08,1.219621219e-02,1.068908971e-01,9.744414367e-02
,1.066692120e-05,4.662864304e-11,1.276588442e-01,3.578070416e-08,5.525531694e-02,8.396941699e-02,5.848124455e-02
,2.050865257e-05,3.064341333e-09,8.292589775e-04,1.134617264e-01,8.040345290e-02,1.086718998e-01,1.228924850e-01
,9.004210620e-05,4.349347879e-09,4.594548723e-02,1.688095290e-01,1.543394624e-01,1.649169038e-01,1.593693258e-01
,2.231535274e-04,2.875269057e-10,1.115619598e-10,3.971113533e-04,1.309191143e-02,7.025604480e-02,1.318069369e-02
,2.976861057e-05,1.415631169e-09,3.689867069e-04,1.093718983e-07,5.851810635e-02,1.074513545e-01,5.687680103e-02
,1.977386603e-04,7.358430165e-02,4.516705505e-10,3.080463082e-02,1.202271240e-01,1.469867683e-01,8.457662089e-02
,3.584429517e-03,1.223406560e-10,2.717226821e-09,1.547443820e-01,1.401763124e-01,1.320083022e-01,1.075987134e-01
,3.144712098e-04,3.168613995e-02,1.676853391e-02,1.616524524e-01,1.376253864e-01,1.410831305e-01,9.724878681e-02
,1.314697948e-04,5.012879775e-02,3.061990181e-02,1.309417277e-02,4.916017216e-02,1.362334385e-01,9.137228095e-02
,2.971711782e-04,1.046088891e-09,1.719728578e-01,8.785740228e-03,1.371831562e-01,2.137491285e-01,3.906144967e-02
,8.478569839e-05,6.615132202e-10,1.286024049e-03,8.901323216e-08,1.869136912e-01,6.487467160e-02,1.653053959e-01
,3.974348995e-04,1.759995398e-02,4.426388483e-04,3.873570415e-08,8.520673157e-02,7.664850133e-02,3.826271189e-02
,5.920773938e-04,6.042026595e-10,4.329416450e-10,1.559384886e-07,4.343429267e-09,1.763136817e-02,3.189852917e-02
,1.171595542e-02,2.678932567e-01,2.446286973e-01,1.208834192e-01,2.239646958e-01,7.843422872e-10,3.295955306e-02
