step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
63,,,,,,,,10.984686851501465,,,,,,,,,,,,0.0,1.0,,0.0,10.53360652923584,15.074860572814941,15.120731353759766,,,,,,,
64,,,,,,,,13.353848457336426,,,,,,,,,,,,0.0,1.0,,0.0,11.08202838897705,15.080344200134277,15.120731353759766,,,,,,,
65,,,,,,,,12.23325252532959,,,,,,,,,,,,0.0,1.0,,0.0,11.392550468444824,15.083450317382812,15.120731353759766,,,,,,,
66,,,,,,,,9.707221984863281,,,,,,,,,,,,0.0,1.0,,0.0,9.88403606414795,15.068365097045898,15.120731353759766,,,,,,,
67,,,,,,,,12.883692741394043,,,,,,,,,,,,0.0,1.0,,0.0,10.01365852355957,15.069661140441895,15.120731353759766,,,,,,,
68,,,,,,,,10.843793869018555,,,,,,,,,,,,0.0,1.0,,0.0,9.552512168884277,15.065049171447754,15.120731353759766,,,,,,,
69,,,,,,,,14.92296314239502,,,,,,,,,,,,0.0,1.0,,0.0,10.194600105285645,15.071470260620117,15.120731353759766,,,,,,,
70,,,,,,,,10.55955696105957,,,,,,,,,,,,0.0,1.0,,0.0,9.338395118713379,15.062908172607422,15.120731353759766,,,,,,,
71,,,,,,,,12.461067199707031,,,,,,,,,,,,0.0,1.0,,0.0,8.560718536376953,15.055131912231445,15.120731353759766,,,,,,,
72,,,,,,,,12.44711685180664,,,,,,,,,,,,0.0,1.0,,0.0,9.282319068908691,15.062347412109375,15.120731353759766,,,,,,,
73,,,,,,,,11.784808158874512,,,,,,,,,,,,0.0,1.0,,0.0,8.25959587097168,15.052120208740234,15.120731353759766,,,,,,,
74,,,,,,,,12.5923490524292,,,,,,,,,,,,0.0,1.0,,0.0,9.476091384887695,15.064285278320312,15.120731353759766,,,,,,,
75,,,,,,,,15.333379745483398,,,,,,,,,,,,0.0,1.0,,0.0,9.958969116210938,15.069113731384277,15.120731353759766,,,,,,,
76,,,,,,,,15.90037727355957,,,,,,,,,,,,0.0,1.0,,0.0,8.832242965698242,15.057847023010254,15.120731353759766,,,,,,,
77,,,,,,,,9.99406909942627,,,,,,,,,,,,0.0,1.0,,0.0,7.837886810302734,15.047903060913086,15.120731353759766,,,,,,,
78,,,,,,,,14.356128692626953,,,,,,,,,,,,0.0,1.0,,0.0,9.492486953735352,15.064449310302734,15.120731353759766,,,,,,,
79,1.0,2.727963924407959,2.2512290477752686,2.7224154472351074,2.396129608154297,2.553386926651001,1.8578217029571533,11.093757629394531,0.5185434222221375,14.50894546508789,0.0,14.50894546508789,7.774226188659668,0.8569788336753845,10.769643783569336,18.56243133544922,0.9593556523323059,0.9380180239677429,0.5085746645927429,0.0,1.0,,0.0,8.945913314819336,15.05898380279541,15.120731353759766,10.253410339355469,,,,,,
80,,,,,,,,14.145575523376465,,,,,,,,,,,,0.0,1.0,,0.0,9.237894058227539,15.06190299987793,15.120731353759766,,,,,,,
81,,,,,,,,12.795547485351562,,,,,,,,,,,,0.0,1.0,,0.0,8.208381652832031,15.051608085632324,15.120731353759766,,,,,,,
