step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
6749,26,26,0.000770043,10,0,0,4.81218e-05,4.87957e-05,9.24235e-05,0.0130208,0.0130208,0.0260416,0.337368,4.03104,5.19261,0.805117,0.0767782,2.77443,0.0474977,0.0512174,0.0323604,0.117855,0.0835532,0,1.79514,0,
6799,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,
6849,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,
6899,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,
6949,27,,0.000762343,,,,,,,,,,,,,,,,,,,,,,,,
6999,27,27,0.000762343,10,0,0,4.80777e-05,4.87105e-05,9.24501e-05,0.0130208,0.0130208,0.0260416,0.330157,4.03205,5.14995,0.808264,0.0785348,2.77968,0.0483613,0.0507252,0.0326506,0.116971,0.0898213,0,1.84708,0,
7049,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,
7099,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,
7149,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,
7199,28,,0.000754719,,,,,,,,,,,,,,,,,,,,,,,,
7249,28,28,0.000754719,10,0,0,4.8179e-05,4.87122e-05,9.23189e-05,0.0130208,0.0130208,0.0260416,0.327264,4.22023,5.13815,0.820962,0.0950582,2.84327,0.0479712,0.0553906,0.0325261,0.113436,0.0864748,0,2.49984,0,
7299,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,
7349,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,
7399,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,
7449,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,
7499,29,29,0.000747172,10,0,0,4.80494e-05,4.88398e-05,9.22411e-05,0.0130208,0.0130208,0.0260416,0.320087,4.02493,5.22563,0.80484,0.0804983,2.82162,0.0481899,0.0514183,0.0318153,0.122461,0.0834446,0,1.82714,0,
7549,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,
7599,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,
7649,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,
7699,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,
7749,30,30,0.0007397,10,0,0,4.80557e-05,4.8688e-05,9.21369e-05,0.0130208,0.0130208,0.0260416,0.314971,4.03766,5.20793,0.805067,0.0758757,2.76963,0.0473321,0.049796,0.033863,0.115495,0.0848389,0,1.77689,0,
7799,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,
7849,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,
7899,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,
7949,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,
7999,31,31,0.000732303,10,0,0,4.80053e-05,4.85122e-05,9.22466e-05,0.0130208,0.0130208,0.0260416,0.30403,3.98,5.16524,0.799905,0.0744452,2.75642,0.0466032,0.0501835,0.0325651,0.114912,0.0819582,0,1.77811,0,
8049,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,
8099,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,
8149,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,
8199,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,
8249,32,32,0.00072498,10,0,0,4.80036e-05,4.85532e-05,9.20904e-05,0.0130208,0.0130208,0.0260416,0.30198,3.97907,5.17941,0.804493,0.0769768,2.79997,0.0462113,0.0502966,0.0321616,0.113112,0.0816973,0,1.81783,0,
8299,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,
8349,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,
8399,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,
8449,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,
8499,33,33,0.000717731,10,0,0,4.80604e-05,4.85244e-05,9.2435e-05,0.0130208,0.0130208,0.0260416,0.297017,4.00754,5.16797,0.801023,0.0762197,2.7622,0.0466985,0.049083,0.0330264,0.115274,0.0828074,0,1.80184,0,
8549,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,
8599,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,
8649,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,
8699,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,
8749,34,34,0.000710553,10,0,0,4.79669e-05,4.84892e-05,9.18217e-05,0.0130208,0.0130208,0.0260416,0.293776,3.96607,5.13211,0.791184,0.0723489,2.66872,0.0461923,0.0489982,0.0320506,0.114007,0.0820979,0,1.72902,0,
8799,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,
8849,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,
8899,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,
8949,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,
8999,35,35,0.000703448,10,0,0,4.77525e-05,4.84809e-05,9.18116e-05,0.0130208,0.0130208,0.0260416,0.287909,3.96642,5.13537,0.795987,0.0735662,2.69365,0.0457856,0.0503352,0.0318163,0.112981,0.0795811,0,1.73614,0,
9049,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,
9099,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,
9149,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,
9199,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,
9249,36,36,0.000696413,10,0,0,4.77775e-05,4.84614e-05,9.15451e-05,0.0130208,0.0130208,0.0260416,0.284049,3.9669,5.13008,0.792086,0.0733001,2.69309,0.0463865,0.0500447,0.0318438,0.114861,0.08157,0,1.72211,0,
9299,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,
9349,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,
9399,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,
9449,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,
9499,37,37,0.000689449,10,0,0,4.79135e-05,4.84396e-05,9.15826e-05,0.0130208,0.0130208,0.0260416,0.278632,3.99975,5.11949,0.799214,0.0758238,2.69494,0.0478676,0.0507937,0.0332255,0.11584,0.0873465,0,1.82481,0,
9549,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,
9599,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,
9649,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,
9699,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,
9749,38,38,0.000682555,10,0,0,4.77438e-05,4.84059e-05,9.1602e-05,0.01302,0.0130208,0.0260416,0.275174,3.97737,5.079,0.795172,0.0748248,2.67406,0.045786,0.0494208,0.032758,0.112275,0.0802629,0,1.79244,0,
9799,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,
9849,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,
9899,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,
9949,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,
9999,39,39,0.000675729,10,0,0,4.80101e-05,4.84096e-05,9.14025e-05,0.0130208,0.0130208,0.0260416,0.274886,4.10653,5.09289,0.807004,0.0828527,2.74535,0.0465354,0.0508325,0.032298,0.114772,0.08131,0,1.99069,0,
10049,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,
10099,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,
10149,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,
10199,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,
10249,40,40,0.000668972,10,0,0,4.77998e-05,4.83338e-05,9.13701e-05,0.0130208,0.0130208,0.0260416,0.266974,3.96662,5.13623,0.792251,0.073677,2.68668,0.0462835,0.0494518,0.0324294,0.115346,0.080474,0,1.71977,0,
10299,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,
10349,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,
10399,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,
10449,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,
10499,41,41,0.000662282,10,0,0,4.76023e-05,4.82657e-05,9.11247e-05,0.0130208,0.0130208,0.0260416,0.259425,4.04207,5.25554,0.812709,0.0839792,2.88491,0.047447,0.0509502,0.0319772,0.117328,0.0844269,0,1.90453,0,
10549,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,
10599,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,
10649,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,
10699,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,
10749,42,42,0.000655659,10,0,0,4.76556e-05,4.82358e-05,9.11158e-05,0.0130208,0.0130208,0.0260416,0.259235,3.97097,5.18353,0.794163,0.0733211,2.74677,0.0458555,0.0484012,0.0328874,0.112995,0.08085,0,1.67756,0,
10799,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,
10849,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,
10899,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,
10949,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,
10999,43,43,0.000649103,10,0,0,4.80548e-05,4.83161e-05,9.08467e-05,0.0130208,0.0130208,0.0260416,0.256682,4.06544,5.10484,0.802447,0.0812621,2.75715,0.0467687,0.0503572,0.0317714,0.116204,0.0822792,0,1.98435,0,
11049,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,
11099,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,
11149,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,
11199,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,
11249,44,44,0.000642612,10,0,0,4.7715e-05,4.82759e-05,9.10883e-05,0.0130208,0.0130208,0.0260416,0.255859,3.95259,5.08427,0.790816,0.0713747,2.63912,0.0456517,0.0488899,0.0309793,0.113107,0.0809343,0,1.7152,0,
11299,45,,0.000636185,,,,,,,,,,,,,,,,,,,,,,,,
11349,45,,0.000636185,,,,,,,,,,,,,,,,,,,,,,,,
11399,45,,0.000636185,,,,,,,,,,,,,,,,,,,,,,,,
11449,45,,0.000636185,,,,,,,,,,,,,,,,,,,,,,,,
11499,45,45,0.000636185,10,0,0,4.76167e-05,4.81819e-05,9.06728e-05,0.0130208,0.0130208,0.0260416,0.248999,4.01745,5.06418,0.797957,0.0760458,2.68721,0.0459519,0.0504099,0.0312855,0.11335,0.0806661,0,1.82248,0,
11549,46,,0.000629824,,,,,,,,,,,,,,,,,,,,,,,,
11599,46,,0.000629824,,,,,,,,,,,,,,,,,,,,,,,,
11649,46,,0.000629824,,,,,,,,,,,,,,,,,,,,,,,,
11699,46,,0.000629824,,,,,,,,,,,,,,,,,,,,,,,,
11749,46,46,0.000629824,10,0,0,4.75445e-05,4.81851e-05,9.08489e-05,0.0130208,0.0130208,0.0260416,0.244504,4.00458,5.10949,0.799469,0.0766801,2.68568,0.0463225,0.0506973,0.0314046,0.114205,0.081628,0,1.87667,0,
