filename,target_npz,runtime,best_loss,optimizer,loss_name,num_particles,max_iter,w,c1,c2,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0054.npz,random_IR_0054.npz,0.41,0.95659715,PSO,L1_STFT,10,5,0.2,2.0,1.0,4.592e-05,0.00762553,True,32.53148271,5.14578352,3.19888374,129579235570.86192,13330.49772536,0.00244038,2.59869274,104.06443119,0.88658559,0.98795686,91562439840.24425,6942.38113954,0.00402711,2.05038916,636.06469484,0.90023182,0.97999164
random_IR_0055.npz,random_IR_0055.npz,0.288,0.76496834,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.651e-05,0.00945553,True,33.6977161,4.36224504,18.33816113,188232659430.01727,16330.93727514,0.00206343,2.62452168,617.95414771,0.84937054,0.82491927,212636794955.40863,11025.80092305,0.00336394,2.4286026,857.72406697,0.79211807,0.91217589
random_IR_0056.npz,random_IR_0056.npz,0.338,0.4809787,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.029e-05,0.05946423,True,65.6396246,11.77202337,10.94979557,138802506463.0653,16528.82377146,0.00397122,2.68331639,718.74047074,0.75039112,0.62074833,127960441568.8106,14253.29065436,0.0042621,3.73564678,159.4228693,0.54072935,0.7177758
random_IR_0057.npz,random_IR_0057.npz,0.329,0.29407009,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.161e-05,0.03236319,True,44.51199455,9.67863413,7.97749953,168385537105.68417,14524.37434535,0.00306464,1.79681995,355.09441574,0.68778569,0.53771892,121371433816.20525,20458.87517103,0.00439615,1.85018379,33.3142935,0.68478638,0.51800097
random_IR_0058.npz,random_IR_0058.npz,0.184,0.70251471,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.949e-05,0.03685014,True,48.11225073,24.16700898,9.64773642,159261874042.39362,11068.34229001,0.00434683,1.89222035,464.1743136,0.84536252,0.80197406,211631134622.2992,4302.76068816,0.00260504,1.63717374,929.29212439,0.93604938,0.73253957
random_IR_0059.npz,random_IR_0059.npz,0.184,0.40832084,PSO,L1_STFT,10,5,0.2,2.0,1.0,9.38e-06,0.0244863,True,21.35318254,7.71397252,34.02547802,131642465275.29745,8843.62273222,0.00241453,1.34474145,726.55224321,0.72907657,0.63698776,69387727860.36472,3051.80231974,0.00193098,2.04743256,614.46856183,0.7201099,0.5433563
random_IR_0060.npz,random_IR_0060.npz,0.308,0.41441622,PSO,L1_STFT,10,5,0.2,2.0,1.0,8.59e-06,0.09216457,True,10.37444825,3.34052194,23.180221,146005855853.22827,7477.86832479,0.00138735,1.39752977,240.48200321,0.84873551,0.59454479,68841542103.34111,4893.83834685,0.00188464,1.83062887,253.19866181,0.56658731,0.81305533
random_IR_0061.npz,random_IR_0061.npz,0.208,1.03476334,PSO,L1_STFT,10,5,0.2,2.0,1.0,4.887e-05,0.1936668,True,92.11392089,16.06821006,6.4228911,202995222710.6757,21200.1423592,0.00434497,1.58268141,591.63768259,0.86698396,0.98487075,164730548877.07898,5493.54320968,0.00496138,3.92534302,409.06000483,0.75024962,0.99481079
random_IR_0062.npz,random_IR_0062.npz,0.192,0.6422075,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.503e-05,0.04415408,True,8.26586071,40.86771224,82.1387139,96555163863.42558,2430.0,0.00340159,2.00260621,678.94716766,0.76182063,0.71392683,168363199444.49942,6968.67005744,0.00413294,1.2893822,288.40561335,0.63057096,0.83627097
random_IR_0063.npz,random_IR_0063.npz,0.255,0.46634167,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.176e-05,0.00547794,True,24.19516091,15.10474245,9.55414957,129529143553.3444,7641.63386563,0.00316623,2.58045489,231.16418628,0.78963738,0.72457803,175105930059.76578,7826.56857449,0.00269636,2.6001947,554.69226178,0.71327987,0.68666732
random_IR_0064.npz,random_IR_0064.npz,0.14,1.10442102,PSO,L1_STFT,10,5,0.2,2.0,1.0,4.861e-05,0.07859804,True,15.04918202,52.14359733,22.46437007,182745709154.2337,4132.12219103,0.003642,1.60649247,338.07039417,0.89824452,0.95309144,120323463532.36218,6803.3874652,0.00469987,3.50310505,46.01685081,0.90933357,0.9928908
random_IR_0065.npz,random_IR_0065.npz,0.261,0.70831209,PSO,L1_STFT,10,5,0.2,2.0,1.0,2.537e-05,0.10344267,True,24.0669735,24.14302908,12.56857152,220000000000.0,7770.34771602,0.00309728,3.54342072,302.48747775,0.66664954,0.86271351,105161266281.63704,21079.81137619,0.00461979,3.91001794,296.5632995,0.56189402,0.97596678
random_IR_0066.npz,random_IR_0066.npz,0.31,0.5062595,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.053e-05,0.07171602,True,62.03609409,24.6054213,10.25336734,141706082338.7356,12536.16458304,0.00494857,3.53163309,636.07886108,0.52222834,0.70430797,201903192487.07745,16167.3310636,0.00375907,1.77691874,58.36577542,0.64349408,0.69573788
random_IR_0067.npz,random_IR_0067.npz,0.192,0.62253743,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.827e-05,0.03402722,True,14.59878645,31.72256347,52.07745731,160878746820.54694,4580.05256959,0.00318747,2.14000045,760.26767792,0.86742199,0.88015562,135741622249.22392,5660.8382621,0.00399515,2.18545893,237.81486447,0.65918952,0.92120267
random_IR_0068.npz,random_IR_0068.npz,0.215,1.13380516,PSO,L1_STFT,10,5,0.2,2.0,1.0,4.009e-05,0.11425938,True,27.84508151,31.46367962,1.6731631,171237460055.9277,7211.81498906,0.00386104,3.99390264,46.58936276,0.90063323,0.7652475,199695279035.7571,14349.1567176,0.00300956,1.7894513,942.58417386,0.97070275,0.87787478
random_IR_0069.npz,random_IR_0069.npz,0.221,0.44447234,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.081e-05,0.02016238,True,42.46954041,12.86532465,16.5124628,142249936387.37134,12102.58041557,0.00350913,2.19257782,701.276706,0.68915073,0.59631,77843076062.18388,10924.24763419,0.00487186,3.12876767,994.40084564,0.65346908,0.58465381
random_IR_0070.npz,random_IR_0070.npz,0.315,1.02500558,PSO,L1_STFT,10,5,0.2,2.0,1.0,3.8e-05,0.02710825,True,38.86652777,13.28755535,6.17410093,70745010553.49667,8941.6273168,0.0043467,3.18342322,239.96586523,0.94625364,0.75332771,203994040296.09613,9626.79151217,0.00152516,2.31071049,604.12176284,0.98421939,0.7779736
random_IR_0071.npz,random_IR_0071.npz,0.215,0.32835099,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.137e-05,0.00653282,True,33.84328214,15.21575451,18.01474905,118102602130.08298,9245.26718677,0.00366061,1.88551252,609.67823456,0.73208412,0.69587601,151467976333.87152,10076.58690171,0.00336892,1.89698835,896.76219061,0.64310986,0.73316763
random_IR_0072.npz,random_IR_0072.npz,0.231,0.416013,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.167e-05,0.08466568,True,86.06174778,6.52419861,0.9487574,94822053236.4838,21230.0,0.00405378,1.68960204,81.65172009,0.73959742,0.82854018,124074334173.75436,8265.15952842,0.00199365,2.26496925,505.87132516,0.76723552,0.87779156
random_IR_0073.npz,random_IR_0073.npz,0.123,0.43130189,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.051e-05,0.01898492,True,31.59443842,39.26905289,19.60068306,138474916984.03455,6788.85419828,0.00465387,1.32331334,619.27257379,0.70636658,0.58547247,105807306211.29388,3345.37756434,0.00469664,2.06717165,862.31992365,0.7286064,0.56126767
random_IR_0074.npz,random_IR_0074.npz,0.222,0.43523505,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.058e-05,0.02491438,True,29.95670696,16.90604064,10.1046616,137681072453.7729,8660.75959748,0.0034589,2.0171337,302.70238632,0.74886557,0.64040938,175710845616.51886,14130.82725704,0.00396039,2.11058037,680.517676,0.61041261,0.67743208
