step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag,final_spec_losses_weighted/1024_spectrogram_mag,final_spec_losses_weighted/128_spectrogram_logmag,final_spec_losses_weighted/128_spectrogram_mag,final_spec_losses_weighted/2048_spectrogram_logmag,final_spec_losses_weighted/2048_spectrogram_mag,final_spec_losses_weighted/256_spectrogram_logmag,final_spec_losses_weighted/256_spectrogram_mag,final_spec_losses_weighted/512_spectrogram_logmag,final_spec_losses_weighted/512_spectrogram_mag,final_spec_losses_weighted/64_spectrogram_logmag,final_spec_losses_weighted/64_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
105,,,,,,,,,,,,,,138.47254943847656,,,,,,,,,,,,0.0,1.0,,0.0,183.25344848632812,263.1462707519531,263.9532775878906,,,,,,,
106,,,,,,,,,,,,,,164.08895874023438,,,,,,,,,,,,0.0,1.0,,0.0,155.84005737304688,262.8721618652344,263.9532775878906,,,,,,,
107,,,,,,,,,,,,,,161.56024169921875,,,,,,,,,,,,0.0,1.0,,0.0,161.94326782226562,262.9331970214844,263.9532775878906,,,,,,,
108,,,,,,,,,,,,,,152.4964599609375,,,,,,,,,,,,0.0,1.0,,0.0,152.6871795654297,262.84063720703125,263.9532775878906,,,,,,,
109,,,,,,,,,,,,,,152.34884643554688,,,,,,,,,,,,0.0,1.0,,0.0,123.69136047363281,262.5506591796875,263.9532775878906,,,,,,,
110,,,,,,,,,,,,,,152.53904724121094,,,,,,,,,,,,0.0,1.0,,0.0,165.2801971435547,262.966552734375,263.9532775878906,,,,,,,
111,,,,,,,,,,,,,,167.77920532226562,,,,,,,,,,,,0.0,1.0,,0.0,172.484375,263.0386047363281,263.9532775878906,,,,,,,
112,,,,,,,,,,,,,,165.18740844726562,,,,,,,,,,,,0.0,1.0,,0.0,163.35565185546875,262.9472961425781,263.9532775878906,,,,,,,
113,,,,,,,,,,,,,,167.45394897460938,,,,,,,,,,,,0.0,1.0,,0.0,179.7076873779297,263.11083984375,263.9532775878906,,,,,,,
114,,,,,,,,,,,,,,156.44110107421875,,,,,,,,,,,,0.0,1.0,,0.0,177.14840698242188,263.0852355957031,263.9532775878906,,,,,,,
115,,,,,,,,,,,,,,154.494873046875,,,,,,,,,,,,0.0,1.0,,0.0,135.2139434814453,262.6658935546875,263.9532775878906,,,,,,,
116,,,,,,,,,,,,,,159.05410766601562,,,,,,,,,,,,0.0,1.0,,0.0,170.7908172607422,263.02166748046875,263.9532775878906,,,,,,,
117,,,,,,,,,,,,,,137.1664581298828,,,,,,,,,,,,0.0,1.0,,0.0,132.9273681640625,262.6430358886719,263.9532775878906,,,,,,,
118,,,,,,,,,,,,,,175.76597595214844,,,,,,,,,,,,0.0,1.0,,0.0,183.14500427246094,263.14520263671875,263.9532775878906,,,,,,,
