step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
7249,28,28,0.000754719,10,0,0,4.83985e-05,4.8667e-05,9.22388e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.360164,4.57117,12.036,1.00441,0.123241,5.01323,0.0502955,0.0542545,0.0338662,0.0177007,0.118997,0.0769541,0,3.9756,0,
7299,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7349,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7399,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7449,29,,0.000747172,,,,,,,,,,,,,,,,,,,,,,,,,,
7499,29,29,0.000747172,10,0,0,4.84042e-05,4.87272e-05,9.22676e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.358068,4.61505,12.1011,1.01547,0.128553,5.22128,0.0510774,0.0547529,0.0329865,0.0187163,0.118929,0.081079,0,4.09766,0,
7549,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7599,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7649,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7699,30,,0.0007397,,,,,,,,,,,,,,,,,,,,,,,,,,
7749,30,30,0.0007397,10,0,0,4.83331e-05,4.86442e-05,9.20162e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.348058,4.56399,12.0027,1.01511,0.132752,5.08687,0.0508705,0.0547772,0.0341699,0.0175016,0.117964,0.0808108,0,4.40589,0,
7799,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7849,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7899,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7949,31,,0.000732303,,,,,,,,,,,,,,,,,,,,,,,,,,
7999,31,31,0.000732303,10,0,0,4.82272e-05,4.8543e-05,9.17973e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.340615,4.59761,11.7294,0.998026,0.122801,4.91772,0.0514784,0.0531549,0.0349695,0.0176762,0.121565,0.0815046,0,4.01273,0,
8049,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8099,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8149,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8199,32,,0.00072498,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,32,32,0.00072498,10,0,0,4.82633e-05,4.85821e-05,9.19364e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.335685,4.48814,12.0124,1.00426,0.124859,5.19564,0.0504687,0.0534623,0.0328158,0.0185947,0.121149,0.07679,0,3.8888,0,
8299,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8349,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8399,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8449,33,,0.000717731,,,,,,,,,,,,,,,,,,,,,,,,,,
8499,33,33,0.000717731,10,0,0,4.81145e-05,4.84492e-05,9.20309e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.326175,4.61002,11.8027,1.00438,0.124441,4.90854,0.0513194,0.0528361,0.0342019,0.0168337,0.115787,0.0882576,0,4.21533,0,
8549,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
8599,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
8649,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
8699,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,,,
