step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/AMP_1,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/MULT_0,train/param_grad/M_OSC_0,train/param_grad/M_OSC_1,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_f0_mult,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/mfccdb,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
4249,16,16,0.000851458,10,0,0,4.88772e-05,4.9123e-05,0.0260416,9.36724e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.451082,6.19543,15.2698,1.31457,0.148371,5.99116,0.0520284,0.0501823,0.0353023,0.00892525,0.012373,0.119278,0.0861095,0,5.75838,0,5.5855,17.6504,2.49098,0.354958,12.1809,0,0,9.57718,0
4299,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4349,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4399,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,17,,0.000842943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4499,17,17,0.000842943,10,0,0,4.87549e-05,4.89854e-05,0.0260416,9.35202e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.438832,6.20776,15.7617,1.31888,0.156023,5.8454,0.0529579,0.0535952,0.0343009,0.0103517,0.0118673,0.120349,0.0872832,0,6.84528,0,5.59425,17.7476,2.51972,0.362163,12.279,0,0,9.97169,0
4549,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4599,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,18,,0.000834514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749,18,18,0.000834514,10,0,0,4.86997e-05,4.89348e-05,0.0260416,9.34226e-05,0.0260416,0.0130208,0.0130208,0.0260416,0.426735,6.35001,15.1007,1.33142,0.165122,5.87457,0.0540807,0.0571698,0.035379,0.00892206,0.0115796,0.119822,0.0916115,0,5.89798,0,5.55737,17.5419,2.48577,0.35513,12.0189,0,0,8.95351,0
4799,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4849,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4899,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4949,19,,0.000826169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
